order_id,customer_id,order_date,total_amount
5001,1021,2024-02-12,35.0
5002,1001,2024-03-25,299.0
5003,1008,2024-03-12,54.0
5004,1005,2024-02-10,398.0
5005,1022,2024-06-02,175.0
5006,1003,2024-06-14,330.0
5007,1014,2024-01-23,135.0
5008,1001,2024-02-07,179.97
5009,1007,2024-03-14,128.0
5010,1017,2024-06-17,239.0
5011,1001,2024-06-06,370.0
5012,1007,2024-06-29,499.96
5013,1023,2024-06-02,330.0
5014,1014,2024-03-11,72.0
5015,1015,2024-06-13,144.0
5016,1009,2024-01-16,42.0
5017,1025,2024-02-24,120.0
5018,1023,2024-05-02,252.0
5019,1011,2024-03-26,728.0
5020,1005,2024-03-10,248.0
5021,1025,2024-04-10,1429.97
5022,1004,2024-02-07,659.98
5023,1013,2024-02-08,645.0
5024,1012,2024-04-12,860.0
5025,1020,2024-03-22,272.0
5026,1026,2024-01-26,128.0
5027,1024,2024-05-11,1518.96
5028,1018,2024-02-15,175.0
5029,1030,2024-04-20,659.98
5030,1003,2024-06-04,336.0
